issuer_code,day_period,violation_category,count
355057,PM,3,198
355057,PM,4,124
355057,PM,5,215
355135,AM,1,545
355135,AM,2,253
355135,AM,3,124
355135,AM,4,29
355135,AM,5,247
355135,PM,1,184
355135,PM,2,406
355135,PM,3,254
355135,PM,4,28
355135,PM,5,253
355207,AM,2,511
355207,AM,3,349
355207,AM,4,48
355207,AM,5,173
355207,PM,2,84
355207,PM,3,59
355207,PM,4,16
355207,PM,5,26
355208,AM,1,1
355208,AM,2,13
355208,AM,3,11
355208,AM,5,2
355208,PM,2,1323
355208,PM,3,293
355208,PM,4,194
355208,PM,5,285
355226,AM,1,27
355226,AM,2,577
355226,AM,3,303
355226,AM,4,155
355226,AM,5,944
355226,PM,2,54
355226,PM,3,38
355226,PM,4,62
355226,PM,5,86
355231,AM,1,27
355231,AM,2,302
355231,AM,3,99
355231,AM,4,218
355231,AM,5,730
355231,PM,2,163
355231,PM,3,41
355231,PM,4,178
355231,PM,5,249
355290,AM,1,204
355290,AM,2,496
355290,AM,3,106
355290,AM,4,1
355290,AM,5,112
355290,AM,6,5
355290,PM,2,10
355290,PM,3,2
355316,AM,1,174
355316,AM,2,234
355316,AM,3,41
355316,AM,4,35
355316,AM,5,176
355316,PM,1,14
355316,PM,2,110
355316,PM,3,7
355316,PM,4,83
355316,PM,5,103
355418,AM,1,1
355418,AM,2,450
355418,AM,3,243
355418,AM,4,77
355418,AM,5,1356
355418,AM,6,16
355418,PM,2,175
355418,PM,3,51
355418,PM,4,45
355418,PM,5,277
355418,PM,6,1
355443,AM,1,18
355443,AM,2,222
355443,AM,3,104
355443,AM,4,68
355443,AM,5,611
355443,PM,2,95
355443,PM,3,40
355443,PM,4,37
355443,PM,5,178
355603,AM,1,108
355603,AM,2,1017
355603,AM,3,129
355603,AM,4,207
355603,AM,5,1053
355603,PM,1,7
355603,PM,2,175
355603,PM,3,40
355603,PM,4,43
355603,PM,5,128
355604,AM,1,733
355604,AM,2,1154
355604,AM,3,19
355604,AM,4,61
355604,AM,5,231
355604,AM,6,2
355604,PM,1,14
355604,PM,2,96
355604,PM,3,32
355604,PM,4,26
355604,PM,5,35
355607,AM,1,260
355607,AM,2,213
355607,AM,3,50
355607,AM,4,265
355607,AM,5,432
355607,PM,1,39
355607,PM,2,276
355607,PM,3,77
355607,PM,4,372
355607,PM,5,465
355618,AM,2,4
355618,AM,5,7
355618,PM,2,1314
355618,PM,3,189
355618,PM,4,363
355618,PM,5,559
355618,PM,6,203
355635,AM,1,147
355635,AM,2,798
355635,AM,3,97
355635,AM,4,69
355635,AM,5,355
355635,AM,6,2
355635,PM,1,7
355635,PM,2,186
