issuer_code,day_week,violation_code,count
330068,2,31,17
330068,2,37,4
330068,2,38,8
330068,2,40,2
330068,2,42,43
330068,2,46,1
330068,2,47,29
330068,2,48,4
330068,2,69,108
330068,2,70,2
330068,2,71,1
330068,2,82,4
330068,2,84,5
330068,3,13,2
330068,3,14,75
330068,3,17,8
330068,3,19,4
330068,3,31,21
330068,3,37,2
330068,3,38,4
330068,3,40,5
330068,3,42,31
330068,3,47,27
330068,3,48,2
330068,3,50,1
330068,3,69,142
330068,3,71,3
330068,4,14,51
330068,4,17,4
330068,4,18,1
330068,4,19,4
330068,4,31,19
330068,4,37,1
330068,4,38,4
330068,4,40,4
330068,4,42,32
330068,4,46,1
330068,4,47,20
330068,4,48,5
330068,4,51,1
330068,4,69,83
330068,4,70,3
330068,4,84,3
330068,5,10,1
330068,5,13,6
330068,5,14,54
330068,5,17,6
330068,5,18,1
330068,5,19,6
330068,5,31,19
330068,5,37,2
330068,5,38,12
330068,5,42,30
330068,5,46,1
330068,5,47,19
330068,5,48,3
330068,5,51,2
330068,5,69,89
330068,5,70,1
330068,5,71,3
330068,5,84,2
330068,6,14,4
330068,6,31,4
330068,6,37,4
330068,6,38,6
330068,6,42,3
330068,6,47,1
330068,6,69,3
330068,6,71,1
330069,1,13,1
330069,1,14,49
330069,1,18,1
330069,1,19,2
330069,1,20,1
330069,1,31,17
330069,1,37,1
330069,1,38,4
330069,1,40,9
330069,1,42,21
330069,1,46,10
330069,1,47,40
330069,1,69,204
330069,1,74,1
330069,1,84,9
330069,2,10,3
330069,2,13,3
330069,2,14,51
330069,2,17,4
330069,2,20,1
330069,2,31,18
330069,2,38,12
330069,2,40,7
330069,2,42,11
330069,2,46,15
330069,2,47,66
330069,2,69,162
330069,2,70,1
330069,2,84,14
330069,3,10,4
330069,3,13,4
330069,3,14,56
330069,3,17,4
330069,3,19,5
330069,3,31,15
330069,3,37,1
330069,3,38,12
330069,3,40,5
330069,3,42,18
330069,3,46,12
330069,3,47,55
330069,3,69,176
330069,3,84,9
330069,4,10,1
330069,4,13,1
330069,4,14,45
330069,4,17,3
330069,4,19,3
330069,4,31,14
330069,4,38,22
330069,4,40,8
330069,4,42,12
330069,4,46,15
330069,4,47,63
330069,4,69,157
330069,4,84,8
330069,5,10,1
330069,5,13,4
330069,5,14,71
330069,5,17,3
330069,5,19,4
330069,5,20,2
330069,5,31,12
330069,5,38,18
330069,5,40,12
330069,5,42,21
330069,5,46,19
330069,5,47,62
330069,5,69,191
330069,5,70,1
330069,5,84,11
330551,1,14,5
330551,1,16,206
330551,1,17,3
330551,1,19,3
330551,1,20,28
330551,1,37,13
330551,1,38,5
330551,1,40,10
330551,1,46,5
330551,1,51,2
330551,1,70,6
330551,1,71,15
330551,2,14,7
330551,2,16,168
330551,2,17,6
330551,2,19,3
330551,2,20,76
330551,2,37,6
330551,2,38,5
330551,2,40,14
330551,2,46,4
330551,2,51,3
330551,2,70,4
330551,2,71,11
330551,3,14,14
330551,3,16,205
330551,3,17,6
330551,3,20,75
330551,3,37,8
330551,3,38,10
330551,3,40,12
330551,3,46,2
330551,3,70,2
330551,3,71,6
330551,3,74,1
330551,4,14,7
330551,4,16,183
330551,4,17,9
330551,4,19,1
330551,4,20,159
330551,4,21,84
330551,4,37,12
330551,4,38,12
330551,4,40,8
330551,4,46,4
330551,4,48,1
330551,4,51,2
330551,4,70,4
330551,4,71,17
330551,4,74,2
330551,5,14,4
330551,5,16,113
330551,5,17,5
330551,5,19,1
330551,5,20,92
330551,5,21,52
330551,5,37,5
330551,5,38,5
330551,5,40,6
