issuer_code,day_week,violation_category,count
333163,6,2,232
333163,6,3,85
333163,6,5,24
333163,7,2,250
333163,7,3,120
333163,7,5,24
333386,1,1,407
333386,1,2,194
333386,1,3,43
333386,1,5,40
333386,2,1,463
333386,2,2,186
333386,2,3,46
333386,2,5,36
333386,3,1,195
333386,3,2,149
333386,3,3,65
333386,3,4,2
333386,3,5,46
333386,4,1,331
333386,4,2,134
333386,4,3,40
333386,4,4,1
333386,4,5,20
333386,5,1,342
333386,5,2,145
333386,5,3,36
333386,5,5,26
333386,6,1,176
333386,6,2,126
333386,6,3,12
333386,6,5,103
333733,1,2,337
333733,1,3,45
333733,1,4,73
333733,1,5,136
333733,1,6,23
333733,2,2,361
333733,2,3,81
333733,2,4,59
333733,2,5,161
333733,2,6,38
333733,3,2,376
333733,3,3,48
333733,3,4,69
333733,3,5,128
333733,3,6,24
333733,4,2,351
333733,4,3,48
333733,4,4,59
333733,4,5,140
333733,4,6,29
333733,5,2,366
333733,5,3,57
333733,5,4,71
333733,5,5,127
333733,5,6,26
333733,6,2,122
333733,6,3,17
333733,6,4,26
333733,6,5,66
333733,6,6,23
333733,7,2,42
333733,7,3,6
333733,7,5,7
337778,1,1,62
337778,1,2,123
337778,1,3,53
337778,1,4,121
337778,1,5,151
337778,1,6,1
337778,2,1,85
337778,2,2,135
337778,2,3,125
337778,2,4,135
337778,2,5,231
337778,2,6,2
337778,3,1,61
337778,3,2,95
337778,3,3,98
337778,3,4,154
337778,3,5,244
337778,3,6,1
337778,4,1,50
337778,4,2,155
337778,4,3,54
337778,4,4,158
337778,4,5,183
337778,4,6,1
337778,5,1,141
337778,5,2,129
337778,5,3,76
337778,5,4,137
337778,5,5,234
337778,6,1,4
337778,6,2,97
337778,6,3,30
337778,6,4,98
337778,6,5,210
337778,7,2,74
337778,7,3,18
337778,7,5,123
340051,1,1,9
340051,1,2,669
340051,1,3,97
340051,1,5,13
340051,2,1,10
340051,2,2,897
340051,2,3,129
340051,2,5,10
340051,3,1,6
340051,3,2,695
340051,3,3,100
340051,3,5,14
340051,4,1,7
340051,4,2,540
340051,4,3,61
340051,4,5,6
340051,5,1,1
340051,5,2,741
340051,5,3,77
340051,5,5,10
340051,6,2,272
340051,6,3,64
340051,6,5,10
340051,7,2,400
340051,7,3,106
340051,7,5,3
341298,1,2,322
341298,1,3,50
341298,1,4,50
341298,1,5,194
341298,2,1,2
341298,2,2,339
341298,2,3,97
341298,2,4,78
341298,2,5,241
341298,2,6,1
341298,3,1,1
341298,3,2,323
341298,3,3,56
341298,3,4,66
341298,3,5,228
341298,3,6,6
341298,4,1,1
341298,4,2,316
341298,4,3,64
341298,4,4,51
341298,4,5,189
341298,5,2,265
341298,5,3,62
341298,5,4,55
341298,5,5,161
341298,5,6,7
341943,1,2,227
341943,1,3,46
341943,1,4,65
341943,1,5,167
341943,1,6,2
341943,2,2,236
341943,2,3,76
341943,2,4,60
341943,2,5,168
341943,2,6,4
341943,3,2,145
341943,3,3,55
341943,3,4,27
341943,3,5,126
341943,3,6,12
341943,4,2,179
341943,4,3,60
341943,4,4,58
341943,4,5,197
341943,4,6,10
341943,5,2,238
341943,5,3,65
341943,5,4,85
341943,5,5,246
341943,5,6,4
341943,6,2,152
341943,6,3,73
341943,6,4,89
341943,6,5,277
341943,6,6,7
341943,7,2,216
341943,7,3,23
341943,7,5,20
341980,1,2,580
341980,1,3,18
341980,1,5,19
341980,2,2,548
341980,2,3,31
