issuer_code,day_week,violation_code,count
330291,2,49,1
330291,2,50,14
330291,2,53,1
330291,2,60,45
330291,2,67,2
330291,2,70,3
330291,2,71,12
330291,2,74,1
330291,2,82,1
330291,2,84,1
330291,3,11,2
330291,3,14,117
330291,3,16,2
330291,3,17,4
330291,3,19,14
330291,3,20,40
330291,3,21,215
330291,3,38,11
330291,3,40,23
330291,3,46,71
330291,3,48,3
330291,3,50,15
330291,3,51,1
330291,3,60,20
330291,3,61,1
330291,3,66,1
330291,3,67,1
330291,3,70,2
330291,3,71,6
330291,3,84,4
330291,4,11,1
330291,4,13,1
330291,4,14,87
330291,4,17,3
330291,4,19,17
330291,4,20,42
330291,4,21,247
330291,4,38,3
330291,4,40,29
330291,4,46,54
330291,4,48,4
330291,4,50,9
330291,4,53,4
330291,4,60,1
330291,4,67,1
330291,4,70,3
330291,4,71,4
330291,4,74,1
330291,5,11,1
330291,5,14,115
330291,5,16,3
330291,5,17,4
330291,5,19,18
330291,5,20,54
330291,5,21,238
330291,5,37,1
330291,5,38,19
330291,5,40,39
330291,5,46,82
330291,5,48,11
330291,5,50,9
330291,5,51,1
330291,5,53,2
330291,5,60,11
330291,5,61,1
330291,5,67,3
330291,5,70,3
330291,5,71,10
330291,5,74,1
330291,5,82,1
330291,5,84,3
330291,6,10,1
330291,6,11,3
330291,6,13,1
330291,6,14,21
330291,6,16,2
330291,6,17,6
330291,6,19,13
330291,6,20,70
330291,6,21,283
330291,6,38,121
330291,6,40,84
330291,6,46,11
330291,6,48,11
330291,6,50,17
330291,6,53,2
330291,6,60,44
330291,6,61,1
330291,6,66,1
330291,6,67,7
330291,6,70,7
330291,6,71,10
330291,6,74,1
330291,7,11,1
330291,7,14,5
330291,7,17,1
330291,7,19,6
330291,7,20,49
330291,7,40,65
330291,7,46,9
330291,7,48,9
330291,7,50,7
330291,7,60,4
330291,7,67,5
330291,7,71,6
330692,1,9,3
330692,1,10,6
330692,1,11,1
330692,1,13,10
330692,1,14,198
330692,1,16,39
330692,1,17,3
330692,1,18,27
330692,1,19,16
330692,1,20,53
330692,1,21,73
330692,1,31,51
330692,1,37,13
330692,1,38,18
330692,1,40,26
330692,1,46,5
330692,1,47,31
330692,1,48,10
330692,1,50,4
330692,1,64,35
330692,1,67,1
330692,1,69,72
330692,1,70,2
