issuer_code,day_week,violation_category,count
331074,3,6,2
331074,4,1,38
331074,4,2,65
331074,4,3,12
331074,4,4,1
331074,4,5,29
331074,5,1,37
331074,5,2,28
331074,5,3,18
331074,5,5,27
331074,5,6,2
331074,6,2,47
331074,6,3,2
331074,6,5,43
331074,6,6,10
331074,7,2,71
331074,7,3,6
331074,7,5,63
331074,7,6,4
331261,1,2,195
331261,1,3,9
331261,1,5,176
331261,2,2,236
331261,2,3,25
331261,2,5,234
331261,3,2,230
331261,3,3,18
331261,3,5,250
331261,4,2,169
331261,4,3,20
331261,4,5,166
331261,5,2,185
331261,5,3,14
331261,5,5,173
331261,7,2,2
331261,7,3,1
331261,7,5,2
331356,1,2,110
331356,1,3,10
331356,1,5,12
331356,2,2,95
331356,2,3,5
331356,2,4,3
331356,2,5,25
331356,3,2,99
331356,3,3,13
331356,3,5,9
331356,4,2,129
331356,4,3,14
331356,4,5,14
331356,5,2,162
331356,5,3,9
331356,5,5,18
331356,6,2,156
331356,6,3,29
331356,6,4,1
331356,6,5,74
331356,6,6,1
331794,1,1,1
331794,1,2,53
331794,1,4,52
331794,1,5,67
331794,2,1,20
331794,2,2,82
331794,2,3,11
331794,2,4,125
331794,2,5,199
331794,3,2,119
331794,3,3,5
331794,3,4,89
331794,3,5,156
331794,4,1,12
331794,4,2,120
331794,4,3,10
331794,4,4,98
331794,4,5,150
331794,5,1,21
331794,5,2,126
331794,5,3,17
331794,5,4,119
331794,5,5,184
331794,6,2,12
331794,6,4,2
331794,6,5,14
331829,1,2,164
331829,1,3,21
331829,1,4,24
331829,1,5,48
331829,2,2,170
331829,2,3,18
331829,2,4,18
331829,2,5,55
331829,3,2,97
331829,3,3,9
331829,3,4,10
331829,3,5,29
331829,4,2,94
331829,4,3,7
331829,4,4,2
331829,4,5,31
331829,5,2,84
331829,5,3,5
331829,5,4,3
331829,5,5,16
331829,6,2,285
331829,6,3,60
331829,6,4,7
331829,6,5,125
331829,7,2,203
331829,7,3,31
331829,7,5,46
332944,1,1,3
332944,1,2,152
332944,1,3,10
332944,1,4,1
332944,1,5,38
332944,1,6,4
332944,2,1,4
332944,2,2,147
332944,2,3,14
332944,2,5,49
332944,3,1,2
332944,3,2,115
332944,3,3,18
332944,3,5,51
332944,3,6,11
332944,4,1,13
332944,4,2,125
332944,4,3,16
332944,4,5,43
332944,4,6,7
332944,5,1,5
332944,5,2,154
332944,5,3,24
332944,5,5,44
332944,5,6,6
332944,6,2,234
332944,6,3,24
332944,6,4,3
332944,6,5,111
332944,6,6,12
332944,7,2,37
332944,7,3,2
332944,7,5,3
341171,1,1,57
341171,1,2,240
341171,1,3,8
341171,1,4,24
341171,1,5,192
341171,2,1,33
341171,2,2,319
341171,2,3,9
341171,2,4,22
341171,2,5,181
341171,3,1,4
341171,3,2,233
341171,3,3,12
341171,3,4,33
341171,3,5,194
341171,4,1,40
341171,4,2,228
341171,4,3,6
341171,4,4,37
341171,4,5,157
341171,5,1,41
341171,5,2,290
341171,5,3,9
341171,5,4,34
341171,5,5,179
341171,6,2,18
341171,6,3,1
341171,6,4,4
341171,6,5,42
341240,1,2,194
341240,1,3,41
341240,1,4,68
341240,1,5,113
341240,2,2,214
341240,2,3,58
341240,2,4,72
341240,2,5,111
341240,2,6,1
341240,3,2,203
341240,3,3,40
341240,3,4,63
341240,3,5,83
341240,4,2,155
341240,4,3,32
341240,4,4,63
341240,4,5,97
341240,4,6,1
341240,5,2,153
341240,5,3,28
341240,5,4,54
341240,5,5,63
341240,7,2,37
341240,7,3,6
341240,7,5,9
341891,1,2,79
341891,1,3,39
341891,1,4,16
341891,1,5,118
341891,2,2,97
341891,2,3,22
