Issuer_id,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10,5_11,5_12,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10,6_11,6_12
347687,0,0,2,0,18,2,0,0,0,0,0,0,968,1021,832,859,371,104,105,574,347,103,33,3,54,140,169,218,183,53,35,109,64,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,56,70,77,71,34,18,47,27,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
355113,0,15,334,536,9,143,3,0,0,1,0,0,5,22,180,318,164,184,129,85,105,260,235,18,1,1,4,11,7,7,14,12,8,39,11,1,0,0,30,144,144,194,152,23,18,94,70,16,0,12,190,691,415,285,187,78,40,160,76,14,0,0,0,0,0,0,0,0,0,0,0,0
355446,0,0,0,0,0,0,0,0,0,0,0,0,89,490,208,161,97,47,40,123,206,34,6,1,9,141,98,66,57,22,19,72,74,9,0,0,0,15,44,41,23,17,16,60,174,31,3,1,139,936,413,225,165,91,56,216,382,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0
355117,0,120,246,139,12,410,25,0,0,0,0,0,603,494,173,181,135,94,37,25,3,5,1,0,178,73,110,154,144,64,22,15,4,9,0,0,0,0,0,0,2,0,3,1,3,3,0,0,61,68,106,136,112,81,26,9,12,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0
356356,3,166,314,299,44,48,0,0,0,0,0,0,347,341,244,269,105,74,8,7,13,12,7,0,119,267,181,238,172,153,11,5,13,4,1,0,0,0,0,1,7,4,3,10,9,8,2,0,28,104,140,139,99,66,10,25,16,15,5,0,0,0,0,0,1,1,0,0,0,0,0,0
348566,0,0,0,0,0,0,0,0,0,0,0,0,543,525,389,388,289,57,10,74,74,70,46,12,99,86,82,91,60,13,3,18,6,2,0,0,0,3,5,1,3,0,0,2,2,0,0,0,126,111,49,47,40,2,0,12,1,7,0,1,0,2,0,0,0,0,0,0,1,0,0,0
333386,1,195,629,583,110,660,68,0,0,0,0,0,283,370,105,113,114,98,33,2,0,1,1,1,51,33,32,33,89,52,10,6,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,25,27,84,117,52,28,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355567,0,0,3,0,0,0,35,0,0,0,0,0,5,17,14,5,33,65,103,586,639,463,610,334,0,0,1,3,3,6,22,230,95,96,89,55,0,0,0,1,4,12,6,27,53,32,14,22,0,2,4,32,15,28,19,166,164,138,104,87,0,0,0,0,0,0,0,0,0,0,0,0
351929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,148,288,767,801,509,522,190,0,0,0,0,2,7,65,108,78,37,13,3,0,0,0,0,0,0,24,71,122,76,58,36,0,0,0,0,29,56,114,189,334,206,164,108,0,0,0,0,0,0,0,1,0,0,0,0
358119,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,65,43,34,114,1063,908,638,579,258,0,0,5,7,9,16,22,176,116,80,29,12,0,0,0,0,1,0,5,42,38,25,14,1,0,0,0,15,7,5,12,130,65,30,28,9,0,0,0,0,0,0,1,81,9,0,1,0
358847,0,1,6,28,2,4,0,0,0,0,0,0,1,13,146,218,185,134,365,525,453,197,273,134,0,1,15,24,22,5,46,67,35,13,12,4,0,3,7,22,27,8,117,180,196,108,117,94,0,20,55,52,51,15,131,248,211,137,109,100,0,0,0,0,0,0,0,0,0,0,0,0
351280,0,67,229,448,24,504,24,0,0,0,0,0,244,480,392,298,341,237,88,66,14,2,1,0,100,63,133,112,89,168,32,8,4,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,67,64,59,61,50,47,11,6,1,0,1,0,46,30,2,7,3,2,1,1,0,0,0,0
346346,0,0,151,279,3,8,0,0,1,0,0,0,0,24,64,263,124,62,196,814,785,328,699,338,0,2,11,51,36,6,43,200,115,39,40,35,0,0,4,66,25,6,32,236,99,16,14,6,0,2,45,213,96,25,71,393,181,57,70,55,0,0,0,0,0,0,0,0,0,0,0,0
356522,0,10,46,4,0,0,0,0,0,0,0,0,0,5,38,20,36,104,51,142,114,87,52,37,0,3,10,13,16,15,14,65,53,21,17,12,0,0,3,21,27,29,43,256,167,117,85,74,0,12,77,140,104,103,93,329,199,133,90,83,0,0,0,0,0,0,0,6,1,0,0,0
