issuer_code,type_day,day_period,violation_code,count
333163,Weekend,AM,20,21
333163,Weekend,AM,31,19
333163,Weekend,AM,40,76
333163,Weekend,AM,46,74
333163,Weekend,AM,47,2
333163,Weekend,AM,71,18
333163,Weekend,PM,14,34
333163,Weekend,PM,16,8
333163,Weekend,PM,17,21
333163,Weekend,PM,19,35
333163,Weekend,PM,20,14
333163,Weekend,PM,31,17
333163,Weekend,PM,40,40
333163,Weekend,PM,46,43
333163,Weekend,PM,71,3
333386,Week,AM,14,158
333386,Week,AM,16,52
333386,Week,AM,17,16
333386,Week,AM,19,55
333386,Week,AM,20,278
333386,Week,AM,21,1681
333386,Week,AM,37,2
333386,Week,AM,38,62
333386,Week,AM,40,216
333386,Week,AM,46,97
333386,Week,AM,71,79
333386,Week,PM,14,9
333386,Week,PM,16,2
333386,Week,PM,19,3
333386,Week,PM,20,4
333386,Week,PM,21,57
333386,Week,PM,38,1
333386,Week,PM,40,4
333386,Week,PM,46,7
333386,Week,PM,71,1
333386,Weekend,AM,14,16
333386,Weekend,AM,16,4
333386,Weekend,AM,17,2
333386,Weekend,AM,19,8
333386,Weekend,AM,20,50
333386,Weekend,AM,21,176
333386,Weekend,AM,38,92
333386,Weekend,AM,40,32
333386,Weekend,AM,46,5
333386,Weekend,AM,71,7
333386,Weekend,PM,14,2
333386,Weekend,PM,20,5
333386,Weekend,PM,38,2
333386,Weekend,PM,40,7
333386,Weekend,PM,46,3
333733,Week,PM,14,915
333733,Week,PM,16,31
333733,Week,PM,17,116
333733,Week,PM,19,1
333733,Week,PM,20,103
333733,Week,PM,31,354
333733,Week,PM,37,1
333733,Week,PM,38,12
333733,Week,PM,40,62
333733,Week,PM,42,330
333733,Week,PM,46,34
333733,Week,PM,47,193
333733,Week,PM,69,552
333733,Week,PM,71,26
333733,Weekend,AM,14,1
333733,Weekend,AM,40,3
333733,Weekend,AM,46,1
333733,Weekend,AM,71,2
333733,Weekend,PM,14,87
333733,Weekend,PM,16,7
333733,Weekend,PM,17,10
333733,Weekend,PM,20,5
333733,Weekend,PM,31,14
333733,Weekend,PM,37,19
333733,Weekend,PM,38,41
333733,Weekend,PM,40,21
333733,Weekend,PM,42,7
333733,Weekend,PM,46,5
333733,Weekend,PM,47,8
333733,Weekend,PM,69,12
333733,Weekend,PM,71,8
337778,Week,AM,14,42
337778,Week,AM,16,69
337778,Week,AM,17,16
337778,Week,AM,19,31
337778,Week,AM,20,85
337778,Week,AM,21,267
337778,Week,AM,37,261
337778,Week,AM,38,251
337778,Week,AM,40,38
337778,Week,AM,42,3
337778,Week,AM,46,198
337778,Week,AM,71,146
337778,Week,PM,14,53
337778,Week,PM,16,52
337778,Week,PM,17,17
337778,Week,PM,19,43
337778,Week,PM,20,91
337778,Week,PM,21,132
337778,Week,PM,31,2
337778,Week,PM,37,418
337778,Week,PM,38,313
337778,Week,PM,40,69
337778,Week,PM,42,4
337778,Week,PM,46,157
337778,Week,PM,69,3
337778,Week,PM,71,147
337778,Weekend,AM,14,15
337778,Weekend,AM,16,16
337778,Weekend,AM,17,4
337778,Weekend,AM,19,12
337778,Weekend,AM,20,25
337778,Weekend,AM,21,4
337778,Weekend,AM,31,2
337778,Weekend,AM,37,46
337778,Weekend,AM,38,79
337778,Weekend,AM,40,35
337778,Weekend,AM,46,20
337778,Weekend,AM,71,104
337778,Weekend,PM,14,4
337778,Weekend,PM,16,5
337778,Weekend,PM,17,4
337778,Weekend,PM,19,7
337778,Weekend,PM,20,11
337778,Weekend,PM,37,52
337778,Weekend,PM,38,42
337778,Weekend,PM,40,12
337778,Weekend,PM,46,13
337778,Weekend,PM,71,24
340051,Week,AM,14,1469
340051,Week,AM,16,12
340051,Week,AM,17,11
340051,Week,AM,19,35
340051,Week,AM,20,34
340051,Week,AM,21,33
340051,Week,AM,31,1096
340051,Week,AM,40,322
340051,Week,AM,46,90
340051,Week,AM,47,174
340051,Week,AM,69,1
340051,Week,AM,71,10
340051,Week,PM,14,180
340051,Week,PM,16,28
340051,Week,PM,17,2
340051,Week,PM,19,17
340051,Week,PM,20,19
340051,Week,PM,31,93
340051,Week,PM,38,2
340051,Week,PM,40,106
340051,Week,PM,46,150
340051,Week,PM,47,9
340051,Week,PM,71,3
340051,Weekend,AM,14,146
340051,Weekend,AM,16,5
340051,Weekend,AM,17,9
340051,Weekend,AM,19,19
340051,Weekend,AM,20,15
340051,Weekend,AM,31,6
340051,Weekend,AM,40,116
340051,Weekend,AM,46,63
340051,Weekend,AM,47,9
340051,Weekend,AM,69,1
340051,Weekend,AM,71,6
340051,Weekend,PM,14,231
340051,Weekend,PM,16,11
340051,Weekend,PM,17,3
340051,Weekend,PM,19,32
340051,Weekend,PM,20,3
340051,Weekend,PM,31,32
340051,Weekend,PM,40,26
340051,Weekend,PM,46,71
340051,Weekend,PM,47,8
340051,Weekend,PM,69,2
341298,Week,AM,14,83
341298,Week,AM,16,4
341298,Week,AM,17,5
341298,Week,AM,19,5
341298,Week,AM,20,5
341298,Week,AM,21,3
341298,Week,AM,31,82
341298,Week,AM,38,6
341298,Week,AM,42,9
341298,Week,AM,46,69
341298,Week,AM,47,35
341298,Week,AM,69,82
341298,Week,PM,14,162
341298,Week,PM,16,38
341298,Week,PM,17,29
341298,Week,PM,19,23
341298,Week,PM,20,20
341298,Week,PM,21,1
341298,Week,PM,31,863
341298,Week,PM,37,12
341298,Week,PM,38,36
341298,Week,PM,40,4
341298,Week,PM,42,144
341298,Week,PM,46,124
341298,Week,PM,47,64
341298,Week,PM,69,188
341298,Week,PM,71,4
341943,Week,AM,14,327
341943,Week,AM,17,17
341943,Week,AM,19,12
341943,Week,AM,20,3
341943,Week,AM,31,26
341943,Week,AM,38,1
341943,Week,AM,40,2
341943,Week,AM,42,65
341943,Week,AM,46,1
341943,Week,AM,47,129
341943,Week,AM,69,412
341943,Week,AM,71,6
341943,Week,PM,14,394
341943,Week,PM,16,3
341943,Week,PM,17,18
341943,Week,PM,19,10
341943,Week,PM,20,1
341943,Week,PM,31,173
341943,Week,PM,38,2
341943,Week,PM,40,3
341943,Week,PM,42,230
341943,Week,PM,46,8
341943,Week,PM,47,117
341943,Week,PM,69,412
341943,Week,PM,71,4
341943,Weekend,AM,14,95
341943,Weekend,AM,17,11
341943,Weekend,AM,19,6
341943,Weekend,AM,20,5
341943,Weekend,AM,31,8
341943,Weekend,AM,37,10
341943,Weekend,AM,38,47
341943,Weekend,AM,40,27
341943,Weekend,AM,42,6
341943,Weekend,AM,46,16
341943,Weekend,AM,47,28
341943,Weekend,AM,69,21
341943,Weekend,AM,71,13
341943,Weekend,PM,14,134
341943,Weekend,PM,17,23
341943,Weekend,PM,19,10
341943,Weekend,PM,20,7
341943,Weekend,PM,31,3
341943,Weekend,PM,37,70
341943,Weekend,PM,38,136
341943,Weekend,PM,40,19
341943,Weekend,PM,42,3
341943,Weekend,PM,46,16
341943,Weekend,PM,47,36
341943,Weekend,PM,69,14
341943,Weekend,PM,71,19
341980,Week,AM,31,4
341980,Week,AM,42,1
341980,Week,PM,14,262
341980,Week,PM,16,803
341980,Week,PM,17,43
341980,Week,PM,19,31
341980,Week,PM,20,947
341980,Week,PM,31,290
341980,Week,PM,37,3
341980,Week,PM,38,26
341980,Week,PM,40,125
341980,Week,PM,42,11
341980,Week,PM,46,52
341980,Week,PM,47,35
341980,Week,PM,69,34
341980,Week,PM,71,27
341980,Weekend,AM,14,44
341980,Weekend,AM,16,98
341980,Weekend,AM,17,5
341980,Weekend,AM,19,3
341980,Weekend,AM,20,15
341980,Weekend,AM,21,9
341980,Weekend,AM,31,18
341980,Weekend,AM,37,1
341980,Weekend,AM,38,7
341980,Weekend,AM,40,33
341980,Weekend,AM,46,12
341980,Weekend,AM,47,14
341980,Weekend,AM,69,7
341980,Weekend,AM,71,4
341980,Weekend,PM,14,6
341980,Weekend,PM,16,7
341980,Weekend,PM,20,5
341980,Weekend,PM,31,3
341980,Weekend,PM,38,1
341980,Weekend,PM,40,4
341980,Weekend,PM,46,2
341980,Weekend,PM,71,1
342966,Week,AM,14,1460
342966,Week,AM,16,19
342966,Week,AM,17,24
342966,Week,AM,19,54
342966,Week,AM,20,29
342966,Week,AM,21,31
342966,Week,AM,31,1079
342966,Week,AM,38,2
342966,Week,AM,40,354
342966,Week,AM,46,96
342966,Week,AM,47,187
342966,Week,AM,69,9
342966,Week,AM,71,8
342966,Week,PM,14,139
342966,Week,PM,16,19
342966,Week,PM,19,30
342966,Week,PM,20,26
342966,Week,PM,31,77
342966,Week,PM,40,118
342966,Week,PM,46,153
342966,Week,PM,47,6
342966,Week,PM,71,7
342966,Weekend,AM,14,44
342966,Weekend,AM,16,2
342966,Weekend,AM,19,7
342966,Weekend,AM,20,4
342966,Weekend,AM,31,30
342966,Weekend,AM,40,7
342966,Weekend,AM,46,16
342966,Weekend,AM,47,3
342966,Weekend,PM,14,24
342966,Weekend,PM,16,4
342966,Weekend,PM,19,1
342966,Weekend,PM,31,23
342966,Weekend,PM,40,1
342966,Weekend,PM,46,4
342966,Weekend,PM,47,3
343918,Week,AM,14,298
343918,Week,AM,16,43
343918,Week,AM,17,37
343918,Week,AM,19,197
343918,Week,AM,20,560
343918,Week,AM,21,1337
343918,Week,AM,38,19
343918,Week,AM,40,213
343918,Week,AM,46,158
343918,Week,AM,71,34
343918,Week,PM,14,1
343918,Week,PM,16,1
343918,Week,PM,19,1
343918,Week,PM,20,1
343918,Week,PM,21,4
343918,Week,PM,46,6
343918,Weekend,AM,14,20
343918,Weekend,AM,16,23
343918,Weekend,AM,17,16
343918,Weekend,AM,19,26
343918,Weekend,AM,20,65
343918,Weekend,AM,21,156
343918,Weekend,AM,38,4
343918,Weekend,AM,40,100
343918,Weekend,AM,46,10
343918,Weekend,AM,71,4
343918,Weekend,PM,14,4
343918,Weekend,PM,16,1
343918,Weekend,PM,17,2
343918,Weekend,PM,19,3
343918,Weekend,PM,20,1
343918,Weekend,PM,40,6
344778,Week,AM,14,229
344778,Week,AM,16,65
344778,Week,AM,17,16
344778,Week,AM,19,44
344778,Week,AM,20,326
344778,Week,AM,21,1901
344778,Week,AM,37,4
344778,Week,AM,38,27
344778,Week,AM,40,790
344778,Week,AM,46,114
344778,Week,AM,71,74
344778,Week,PM,14,2
344778,Week,PM,16,3
344778,Week,PM,17,1
344778,Week,PM,19,1
344778,Week,PM,20,4
344778,Week,PM,21,36
344778,Week,PM,38,1
344778,Week,PM,40,11
344778,Week,PM,46,12
344778,Weekend,AM,14,113
344778,Weekend,AM,16,43
344778,Weekend,AM,17,14
344778,Weekend,AM,19,41
344778,Weekend,AM,20,175
344778,Weekend,AM,21,277
344778,Weekend,AM,37,2
344778,Weekend,AM,38,112
344778,Weekend,AM,40,801
344778,Weekend,AM,46,7
344778,Weekend,AM,71,46
344778,Weekend,PM,16,2
344778,Weekend,PM,17,1
344778,Weekend,PM,19,3
344778,Weekend,PM,20,4
344778,Weekend,PM,40,24
344778,Weekend,PM,71,3
345221,Week,AM,14,853
345221,Week,AM,16,178
345221,Week,AM,17,26
345221,Week,AM,19,176
345221,Week,AM,20,97
345221,Week,AM,21,1873
345221,Week,AM,37,33
345221,Week,AM,38,54
345221,Week,AM,40,122
345221,Week,AM,46,64
345221,Week,AM,71,34
345221,Week,PM,14,58
345221,Week,PM,16,23
345221,Week,PM,17,1
345221,Week,PM,19,42
345221,Week,PM,20,16
345221,Week,PM,21,41
345221,Week,PM,37,2
345221,Week,PM,38,8
345221,Week,PM,40,40
345221,Week,PM,46,54
345221,Week,PM,71,6
345221,Weekend,AM,14,48
345221,Weekend,AM,16,16
345221,Weekend,AM,17,2
345221,Weekend,AM,19,30
345221,Weekend,AM,20,18
345221,Weekend,AM,21,43
345221,Weekend,AM,38,14
345221,Weekend,AM,40,36
345221,Weekend,AM,46,20
345221,Weekend,AM,71,5
345221,Weekend,PM,14,4
345221,Weekend,PM,16,3
345221,Weekend,PM,19,7
345221,Weekend,PM,20,2
345221,Weekend,PM,38,1
345221,Weekend,PM,40,3
345221,Weekend,PM,46,3
345221,Weekend,PM,71,2
345238,Week,AM,14,254
345238,Week,AM,16,75
345238,Week,AM,17,62
345238,Week,AM,19,107
345238,Week,AM,20,168
345238,Week,AM,21,842
345238,Week,AM,31,18
345238,Week,AM,37,10
345238,Week,AM,38,129
345238,Week,AM,40,9
345238,Week,AM,42,5
345238,Week,AM,46,3
345238,Week,AM,47,398
345238,Week,AM,69,95
345238,Week,AM,71,11
345238,Week,PM,14,138
345238,Week,PM,16,49
345238,Week,PM,17,27
345238,Week,PM,19,46
345238,Week,PM,20,165
345238,Week,PM,31,57
345238,Week,PM,37,31
345238,Week,PM,38,98
345238,Week,PM,40,7
345238,Week,PM,42,43
345238,Week,PM,46,7
345238,Week,PM,47,139
345238,Week,PM,69,167
345238,Week,PM,71,10
345238,Weekend,AM,14,37
345238,Weekend,AM,16,47
345238,Weekend,AM,17,20
345238,Weekend,AM,19,20
345238,Weekend,AM,20,65
345238,Weekend,AM,21,93
345238,Weekend,AM,31,3
345238,Weekend,AM,37,1
345238,Weekend,AM,38,39
345238,Weekend,AM,40,4
345238,Weekend,AM,47,36
345238,Weekend,AM,69,10
345238,Weekend,AM,71,8
345238,Weekend,PM,14,38
345238,Weekend,PM,16,40
345238,Weekend,PM,17,35
345238,Weekend,PM,19,12
345238,Weekend,PM,20,15
345238,Weekend,PM,31,4
345238,Weekend,PM,37,12
345238,Weekend,PM,38,31
345238,Weekend,PM,40,12
345238,Weekend,PM,46,1
345238,Weekend,PM,47,8
345238,Weekend,PM,69,1
345238,Weekend,PM,71,4
345275,Week,AM,14,1712
345275,Week,AM,16,1
345275,Week,AM,17,10
345275,Week,AM,19,80
345275,Week,AM,20,3
345275,Week,AM,21,6
345275,Week,AM,31,35
345275,Week,AM,38,33
345275,Week,AM,40,56
345275,Week,AM,46,514
345275,Week,AM,47,389
345275,Week,AM,69,281
345275,Weekend,AM,14,323
345275,Weekend,AM,16,4
345275,Weekend,AM,17,28
345275,Weekend,AM,19,23
345275,Weekend,AM,20,46
345275,Weekend,AM,21,2
345275,Weekend,AM,31,16
345275,Weekend,AM,38,24
345275,Weekend,AM,40,34
345275,Weekend,AM,42,1
345275,Weekend,AM,46,108
345275,Weekend,AM,47,72
345275,Weekend,AM,69,54
345275,Weekend,PM,14,189
345275,Weekend,PM,16,14
345275,Weekend,PM,17,14
345275,Weekend,PM,19,14
345275,Weekend,PM,20,76
345275,Weekend,PM,31,1
345275,Weekend,PM,40,37
345275,Weekend,PM,46,73
345275,Weekend,PM,69,1
345331,Week,AM,14,161
345331,Week,AM,16,42
345331,Week,AM,17,24
345331,Week,AM,19,68
345331,Week,AM,20,545
345331,Week,AM,21,1349
345331,Week,AM,38,53
345331,Week,AM,40,140
345331,Week,AM,46,29
345331,Week,AM,71,172
345331,Week,PM,14,4
345331,Week,PM,17,1
345331,Week,PM,21,6
345331,Week,PM,40,1
345331,Weekend,AM,14,35
345331,Weekend,AM,16,8
345331,Weekend,AM,17,7
345331,Weekend,AM,19,29
345331,Weekend,AM,20,108
345331,Weekend,AM,21,214
345331,Weekend,AM,38,43
345331,Weekend,AM,40,78
345331,Weekend,AM,46,3
345331,Weekend,AM,71,93
345331,Weekend,PM,14,1
345331,Weekend,PM,16,2
345331,Weekend,PM,19,7
345331,Weekend,PM,20,6
345331,Weekend,PM,40,5
345331,Weekend,PM,71,5
345536,Week,AM,14,384
345536,Week,AM,16,16
345536,Week,AM,17,5
345536,Week,AM,19,24
345536,Week,AM,20,7
345536,Week,AM,21,17
345536,Week,AM,31,63
345536,Week,AM,38,4
345536,Week,AM,40,10
345536,Week,AM,42,4
345536,Week,AM,46,5
345536,Week,AM,47,75
345536,Week,AM,69,60
345536,Week,AM,71,5
345536,Week,PM,14,151
345536,Week,PM,16,21
345536,Week,PM,17,5
345536,Week,PM,19,12
345536,Week,PM,20,15
345536,Week,PM,31,28
345536,Week,PM,38,14
345536,Week,PM,40,30
345536,Week,PM,42,1
345536,Week,PM,46,35
345536,Week,PM,47,10
345536,Week,PM,69,1
345536,Week,PM,71,4
345536,Weekend,AM,14,70
345536,Weekend,AM,16,10
345536,Weekend,AM,17,4
345536,Weekend,AM,19,8
345536,Weekend,AM,20,11
345536,Weekend,AM,21,1
345536,Weekend,AM,31,20
345536,Weekend,AM,37,1
345536,Weekend,AM,38,7
345536,Weekend,AM,40,31
345536,Weekend,AM,46,31
345536,Weekend,AM,47,12
345536,Weekend,AM,69,2
345536,Weekend,AM,71,8
345536,Weekend,PM,14,96
345536,Weekend,PM,16,15
345536,Weekend,PM,17,10
345536,Weekend,PM,19,5
345536,Weekend,PM,20,8
345536,Weekend,PM,31,32
345536,Weekend,PM,38,2
345536,Weekend,PM,40,29
345536,Weekend,PM,46,13
345536,Weekend,PM,47,8
345536,Weekend,PM,69,3
345536,Weekend,PM,71,2
345560,Week,AM,14,227
345560,Week,AM,16,57
345560,Week,AM,17,5
345560,Week,AM,19,138
345560,Week,AM,20,429
345560,Week,AM,21,1391
345560,Week,AM,38,16
345560,Week,AM,40,520
345560,Week,AM,46,344
345560,Week,AM,71,86
345560,Week,PM,21,17
345560,Week,PM,46,2
345560,Week,PM,71,1
345560,Weekend,AM,14,21
345560,Weekend,AM,16,3
