Issuer_id,Week_AM_14_,Week_AM_38_,Week_AM_69_,Week_AM_21_,Week_AM_37_,Week_AM_20_,Week_AM_31_,Week_AM_16_,Week_AM_46_,Week_AM_40_,Week_AM_47_,Week_AM_19_,Week_AM_42_,Week_AM_71_,Week_AM_17_,Week_PM_14_,Week_PM_38_,Week_PM_69_,Week_PM_21_,Week_PM_37_,Week_PM_20_,Week_PM_31_,Week_PM_16_,Week_PM_46_,Week_PM_40_,Week_PM_47_,Week_PM_19_,Week_PM_42_,Week_PM_71_,Week_PM_17_,Weekend_AM_14_,Weekend_AM_38_,Weekend_AM_69_,Weekend_AM_21_,Weekend_AM_37_,Weekend_AM_20_,Weekend_AM_31_,Weekend_AM_16_,Weekend_AM_46_,Weekend_AM_40_,Weekend_AM_47_,Weekend_AM_19_,Weekend_AM_42_,Weekend_AM_71_,Weekend_AM_17_,Weekend_PM_14_,Weekend_PM_38_,Weekend_PM_69_,Weekend_PM_21_,Weekend_PM_37_,Weekend_PM_20_,Weekend_PM_31_,Weekend_PM_16_,Weekend_PM_46_,Weekend_PM_40_,Weekend_PM_47_,Weekend_PM_19_,Weekend_PM_42_,Weekend_PM_71_,Weekend_PM_17_
922379,24,0,0,0,0,0,0,0,607,0,0,0,0,0,0,11,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358878,0,7,0,0,7,0,0,1,0,2,0,0,0,0,0,215,589,6,0,433,47,5,139,93,241,0,85,1,76,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330039,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,182,2,3,0,0,164,46,100,7,27,2,6,0,14,31,45,0,0,0,0,8,0,4,1,11,0,15,0,4,27,65,0,0,0,0,30,0,11,3,22,0,20,0,10,33
352995,343,5,324,5,0,26,82,26,6,15,83,17,71,9,23,20,4,20,0,1,0,7,0,1,1,4,3,9,3,0,59,56,67,19,10,8,34,5,2,2,13,3,2,11,2,7,9,9,0,2,1,12,0,0,10,1,1,3,2,0
352991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,68,73,0,52,36,56,62,46,13,6,41,27,13,36,27,9,13,0,1,2,8,5,12,2,3,5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
939874,22,26,0,90,6,18,14,0,46,59,0,58,0,0,5,18,2,0,2,0,1,1,0,40,22,0,32,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
351202,249,0,340,0,0,16,67,0,7,20,104,23,82,4,11,23,0,46,0,0,4,11,0,3,2,13,3,21,1,1,34,17,16,0,1,0,7,0,1,5,21,2,3,0,2,7,5,0,0,2,1,17,0,4,1,3,0,3,0,1
341891,225,4,694,0,0,3,165,0,28,9,125,7,73,12,20,17,0,22,0,0,0,21,0,0,0,6,1,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940864,0,0,0,2,1,4,1,0,646,1,0,99,0,0,2,2,1,0,1,1,2,0,0,335,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936299,23,8,0,36,5,33,7,6,625,70,0,114,0,53,4,6,0,0,0,0,1,0,0,59,3,0,9,0,0,0,4,4,0,23,3,6,3,0,72,30,0,25,0,31,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
