Issuer_id,1_1_,1_2_,1_3_,1_4_,1_5_,1_6_,2_1_,2_2_,2_3_,2_4_,2_5_,2_6_,3_1_,3_2_,3_3_,3_4_,3_5_,3_6_,4_1_,4_2_,4_3_,4_4_,4_5_,4_6_,5_1_,5_2_,5_3_,5_4_,5_5_,5_6_,6_1_,6_2_,6_3_,6_4_,6_5_,6_6_,7_1_,7_2_,7_3_,7_4_,7_5_,7_6_
357801,5,148,51,74,274,0,1,154,65,88,275,0,0,137,67,78,289,0,1,127,51,62,233,0,0,128,42,38,226,0,11,52,13,20,95,0,0,8,0,0,3,0
915560,0,35,205,1,0,0,0,9,225,1,0,0,0,3,272,1,0,0,0,0,220,0,1,1,0,22,199,2,0,0,0,5,15,0,0,0,0,3,3,0,0,0
927487,0,74,105,0,0,0,2,122,52,0,1,0,0,91,92,1,0,0,0,82,56,0,2,0,0,1,5,0,0,0,0,22,7,1,0,0,0,24,0,0,0,0
358664,0,0,0,0,0,0,0,237,11,111,138,0,0,99,6,175,207,0,0,89,6,163,203,0,0,128,12,164,170,0,0,90,6,178,332,0,0,0,0,0,0,0
356549,173,86,18,60,173,0,195,61,21,46,141,0,0,120,37,53,134,0,160,76,11,23,121,0,88,143,19,66,130,0,4,19,1,4,55,0,0,7,0,0,6,0
357367,0,185,31,74,189,0,14,158,65,77,242,0,0,124,36,55,150,1,0,154,42,81,138,0,0,106,21,25,40,0,11,35,14,13,64,0,0,22,1,0,3,0
350513,34,244,7,7,25,0,30,235,4,9,21,0,0,242,10,7,23,0,19,286,8,5,30,0,1,314,4,18,23,0,15,93,7,11,106,0,0,0,0,0,0,0
331356,0,110,10,0,12,0,0,95,5,3,25,0,0,99,13,0,9,0,0,129,14,0,14,0,0,162,9,0,18,0,0,156,29,1,74,1,0,0,0,0,0,0
347594,0,111,41,8,55,1,0,141,56,6,87,2,0,136,34,8,63,0,0,136,32,7,65,0,0,195,49,12,159,0,0,0,0,0,0,0,0,35,1,0,6,0
942819,75,105,193,3,3,0,24,77,110,0,3,0,1,123,186,2,0,0,46,77,172,0,2,0,82,146,208,4,11,0,0,1,0,0,0,0,2,0,4,0,0,0
355678,0,55,19,10,113,0,0,36,29,9,98,0,0,22,32,5,51,0,3,37,42,8,79,0,0,35,23,10,80,0,1,5,16,10,36,0,0,10,0,0,1,0
345535,0,217,22,0,10,0,6,288,28,0,14,0,0,223,26,0,11,0,38,396,48,0,17,0,2,179,24,0,9,0,0,34,0,0,1,0,0,0,0,0,0,0
330957,0,156,21,46,107,0,0,141,38,30,102,0,0,145,26,36,97,0,0,130,36,35,95,0,0,128,13,34,79,0,0,0,0,0,0,0,0,0,0,0,0,0
