Issuer_id,AM_1_,AM_2_,AM_3_,AM_4_,AM_5_,AM_6_,PM_1_,PM_2_,PM_3_,PM_4_,PM_5_,PM_6_
942819,230,349,555,6,14,0,0,180,318,3,5,0
355678,4,150,129,28,375,0,0,50,32,24,83,0
345535,46,353,24,0,17,0,0,984,124,0,45,0
330957,0,2,0,2,6,0,0,698,134,179,474,0
346166,2,1081,437,132,907,0,0,119,26,21,58,0
346167,0,745,306,111,815,0,0,97,41,44,78,0
355316,174,234,41,35,176,0,14,110,7,83,103,0
341964,0,713,201,82,944,0,0,71,12,24,84,0
346204,66,1047,287,0,94,37,0,88,34,0,2,25
358928,191,192,51,216,280,0,60,235,66,286,308,0
349904,0,1066,254,79,655,0,0,102,25,12,39,0
356276,705,295,72,201,372,0,105,276,52,101,291,0
351262,8,266,73,199,314,0,2,677,99,221,381,0
346192,0,514,142,81,694,0,0,95,15,33,49,0
357377,0,705,423,128,901,0,0,138,59,33,125,0
358889,0,5,4,3,8,0,0,453,668,633,785,0
355418,1,450,243,77,1356,16,0,175,51,45,277,1
347679,0,588,196,1,725,0,0,1,0,0,0,0
347581,0,3,0,9,22,0,8,107,14,134,243,0
929025,0,6,2,0,1,0,1,425,243,5,2,0
354150,0,930,390,109,824,1,0,83,46,36,62,0
897937,211,401,335,7,68,0,2,39,67,1,2,0
341240,0,19,2,3,5,0,0,937,203,317,471,2
940460,0,102,235,0,0,0,0,66,313,0,0,0
350307,679,807,105,84,465,0,1,136,35,35,79,0
945266,4,207,704,2,3,0,5,114,390,0,0,0
932402,6,808,1247,35,6,0,1,125,199,3,0,0
330068,0,388,124,128,519,0,0,75,24,54,84,0
330069,0,377,286,62,847,0,0,67,71,23,165,0
927706,0,60,527,6,2,0,0,21,30,0,0,0
343930,442,399,44,59,305,0,13,87,29,23,42,0
345551,264,894,294,0,165,35,13,195,34,1,35,4
346045,215,387,315,164,359,0,2,13,19,10,9,0
345557,33,224,52,9,429,0,0,57,13,7,78,0
358647,9,7,2,9,6,0,0,731,248,723,850,0
351315,592,728,73,204,411,0,1,134,27,44,66,0
357345,0,612,135,0,482,0,0,0,0,0,0,0
347576,0,3,1,0,0,0,0,338,18,23,132,1
354048,0,32,2,0,5,0,0,787,113,120,180,18
358939,0,0,0,1,8,0,0,267,26,1181,858,0
355231,27,302,99,218,730,0,0,163,41,178,249,0
355135,545,253,124,29,247,0,184,406,254,28,253,0
911170,0,217,390,0,0,0,0,56,12,1,0,0
357355,0,535,181,87,536,0,0,0,0,0,0,0
330924,0,755,345,32,522,0,0,135,32,13,78,0
343455,36,615,130,41,396,43,3,200,16,11,100,0
907041,22,189,1359,2,168,1,0,16,118,0,18,0
357702,504,228,81,140,432,0,104,165,71,115,225,0
332944,25,669,72,1,245,28,2,295,36,3,94,12
356219,57,674,161,81,262,0,0,587,135,93,141,0
927636,1,447,891,4,5,0,1,96,164,1,0,0
358868,236,181,85,219,290,0,16,180,84,376,275,0
345388,2,453,197,57,638,0,0,41,28,23,47,0
356510,10,730,277,131,1162,1,0,195,63,47,198,0
358929,0,2,0,5,11,0,1,321,22,1048,1040,0
357716,0,0,0,0,0,0,0,2202,157,16,288,0
355226,27,577,303,155,944,0,0,54,38,62,86,0
357711,0,17,11,5,17,0,0,964,393,291,718,23
359316,16,102,90,47,164,0,2,124,48,152,179,10
346157,212,1039,38,124,418,0,0,122,13,41,65,0
921002,0,67,1010,0,0,0,0,18,16,0,0,0
927355,0,157,1141,4,3,0,0,35,36,1,0,0
357327,118,2084,54,38,184,0,10,64,13,7,22,0
358233,25,16,2,21,34,0,9,830,103,840,895,0
331829,0,304,51,5,132,0,0,793,100,59,218,0
330593,0,427,141,260,822,0,0,64,15,50,91,0
341171,174,1196,34,126,791,0,1,132,11,28,154,0
906258,282,630,219,2,55,0,4,329,189,0,27,0
903106,5,82,1251,2,258,0,0,6,236,0,10,0
355635,147,798,97,69,355,2,7,186,61,36,122,0
353512,0,9,1,6,21,0,11,548,238,701,1142,0
904597,0,1005,722,5,43,3,0,44,74,0,5,0
356507,251,463,111,169,440,0,23,292,81,148,287,0
355671,28,740,241,71,950,4,0,218,79,55,213,2
929923,24,926,425,37,42,0,0,44,13,0,0,0
356502,6,843,273,162,1100,8,1,190,62,47,232,0
