Issuer_id,Week_AM_14_,Week_AM_38_,Week_AM_69_,Week_AM_21_,Week_AM_37_,Week_AM_20_,Week_AM_31_,Week_AM_16_,Week_AM_46_,Week_AM_40_,Week_AM_47_,Week_AM_19_,Week_AM_42_,Week_AM_71_,Week_AM_17_,Week_PM_14_,Week_PM_38_,Week_PM_69_,Week_PM_21_,Week_PM_37_,Week_PM_20_,Week_PM_31_,Week_PM_16_,Week_PM_46_,Week_PM_40_,Week_PM_47_,Week_PM_19_,Week_PM_42_,Week_PM_71_,Week_PM_17_,Weekend_AM_14_,Weekend_AM_38_,Weekend_AM_69_,Weekend_AM_21_,Weekend_AM_37_,Weekend_AM_20_,Weekend_AM_31_,Weekend_AM_16_,Weekend_AM_46_,Weekend_AM_40_,Weekend_AM_47_,Weekend_AM_19_,Weekend_AM_42_,Weekend_AM_71_,Weekend_AM_17_,Weekend_PM_14_,Weekend_PM_38_,Weekend_PM_69_,Weekend_PM_21_,Weekend_PM_37_,Weekend_PM_20_,Weekend_PM_31_,Weekend_PM_16_,Weekend_PM_46_,Weekend_PM_40_,Weekend_PM_47_,Weekend_PM_19_,Weekend_PM_42_,Weekend_PM_71_,Weekend_PM_17_
333386,158,62,0,1681,2,278,0,52,97,216,0,55,0,79,16,9,1,0,57,0,4,0,2,7,4,0,3,0,1,0,16,92,0,176,0,50,0,4,5,32,0,8,0,7,2,2,2,0,0,0,5,0,0,3,7,0,0,0,0,0
355567,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,540,366,1,20,117,327,1,259,173,351,0,141,0,63,193,21,52,0,3,12,21,0,2,6,51,0,11,0,9,14,54,63,0,0,23,72,0,16,20,112,0,51,0,12,48
351929,0,1,0,0,0,0,0,1,1,2,0,0,0,0,4,656,198,283,0,136,165,204,459,125,58,0,43,102,78,219,83,0,0,0,0,19,0,9,6,31,0,13,0,40,51,283,179,8,0,99,43,24,91,29,69,0,30,1,72,146
358119,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1697,49,95,0,38,192,722,132,232,38,78,46,3,26,1,80,18,0,0,1,2,13,6,24,3,6,15,0,6,7,27,18,2,0,7,12,10,6,12,6,3,2,0,7,0
358847,64,66,44,37,28,41,31,177,21,11,0,7,9,9,22,224,264,248,0,385,301,172,396,75,59,0,27,124,37,51,111,26,1,4,20,30,17,31,2,6,0,2,0,9,3,247,170,2,0,186,84,4,49,5,14,0,9,1,26,5
351280,462,7,3,994,4,304,5,253,163,70,0,118,0,108,42,20,1,0,17,0,11,0,12,13,1,0,3,0,1,1,56,6,0,57,1,127,0,16,5,24,0,16,0,47,15,24,0,0,0,0,35,0,13,4,15,0,4,0,7,11
346346,191,166,21,373,65,35,3,9,32,8,33,41,5,28,0,1127,9,464,1,4,123,652,117,30,37,223,61,323,60,49,67,28,14,3,8,4,13,5,3,15,14,16,2,24,4,47,27,4,0,15,16,22,1,9,24,9,42,1,11,4
356522,12,30,123,0,13,3,6,1,0,1,21,1,26,5,3,163,289,380,0,362,26,103,10,0,3,147,22,312,54,27,52,161,23,60,36,10,10,17,0,6,30,21,5,63,60,27,117,5,0,65,16,6,15,0,4,11,22,3,35,19
358194,172,310,48,463,184,11,8,7,15,40,18,39,12,54,8,1254,329,431,10,354,29,300,71,95,79,171,108,342,113,22,84,71,18,7,14,5,8,6,14,60,17,21,6,24,3,67,55,2,0,38,5,10,8,17,47,9,27,7,24,3
358617,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,223,978,42,0,933,240,155,64,33,37,0,38,17,125,4,30,9,0,1,3,24,3,15,3,13,0,5,0,32,2,103,386,2,0,195,107,31,67,5,20,0,11,0,68,1
356565,71,71,0,1074,10,201,0,78,117,197,0,54,0,402,8,5,1,0,59,0,5,0,43,1,7,0,4,0,7,1,20,31,0,6,2,64,0,5,11,122,0,14,0,232,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
341943,327,1,412,0,0,3,26,0,1,2,129,12,65,6,17,394,2,412,0,0,1,173,3,8,3,117,10,230,4,18,95,47,21,0,10,5,8,0,16,27,28,6,6,13,11,134,136,14,0,70,7,3,0,16,19,36,10,3,19,23
358594,40,25,275,0,15,1,43,0,3,1,91,7,43,4,4,426,304,852,0,307,26,507,13,34,8,336,57,410,23,45,19,150,23,21,37,5,2,3,9,2,29,15,0,2,8,38,176,27,0,116,10,24,3,7,5,41,17,6,8,6
357724,148,124,74,95,69,7,11,1,14,20,75,21,34,32,4,802,167,547,0,208,27,371,36,82,53,304,41,454,81,18,49,43,13,2,13,3,10,1,10,25,16,4,4,39,14,48,38,5,0,32,6,6,5,17,58,5,20,3,51,7
355283,1080,139,83,768,9,157,23,607,36,4,0,171,2,33,235,4,0,0,0,0,3,0,3,0,0,0,5,0,0,1,61,59,10,16,7,4,1,25,1,4,0,33,2,3,24,18,9,1,0,1,0,0,1,1,1,0,6,0,0,9
358873,10,3,18,0,2,0,3,0,3,1,7,0,3,0,1,420,116,360,0,102,113,546,33,107,58,148,47,187,30,21,7,5,5,0,2,1,11,0,1,6,13,4,1,1,1,25,28,7,0,7,7,44,5,10,30,17,2,4,5,0
356314,30,391,1,304,610,16,0,28,9,19,0,19,0,45,0,55,788,1,10,1342,38,1,38,16,71,0,15,1,89,1,7,0,0,0,0,21,0,2,5,73,0,5,0,96,7,7,275,0,0,298,56,0,3,11,100,0,15,0,97,6
340051,1469,0,1,33,0,34,1096,12,90,322,174,35,0,10,11,180,2,0,0,0,19,93,28,150,106,9,17,0,3,2,146,0,1,0,0,15,6,5,63,116,9,19,0,6,9,231,0,2,0,0,3,32,11,71,26,8,32,0,0,3
345221,853,54,0,1873,33,97,0,178,64,122,0,176,0,34,26,58,8,0,41,2,16,0,23,54,40,0,42,0,6,1,48,14,0,43,0,18,0,16,20,36,0,30,0,5,2,4,1,0,0,0,2,0,3,3,3,0,7,0,2,0
353424,408,62,23,753,4,493,13,607,29,44,0,89,1,36,47,64,11,3,10,0,75,8,50,24,26,0,35,1,9,14,39,26,2,24,4,12,0,4,5,17,0,5,0,6,11,53,11,1,0,4,27,0,9,4,52,0,38,0,6,23
356259,22,10,1,0,2,19,0,3,1,4,0,3,0,0,3,282,214,21,6,57,402,1,325,23,96,0,51,4,32,53,31,10,1,0,0,44,0,6,2,24,0,30,0,6,19,158,89,0,0,11,314,0,59,5,184,0,101,0,20,113
355144,1432,10,517,42,1,16,149,9,275,53,348,60,20,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,7,18,9,0,2,13,0,17,4,13,6,0,1,7,38,2,0,0,0,6,0,4,11,2,1,6,0,0,3
355145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,53,419,0,60,14,619,7,15,11,133,27,376,59,41,57,0,0,0,0,7,0,0,1,25,0,10,0,19,36,291,125,34,0,79,52,165,12,5,72,12,13,8,49,110
357751,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,629,194,490,0,218,68,891,13,51,17,290,45,303,55,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,117,6,0,89,4,46,16,6,13,14,4,2,21,6
