issuer_code,type_day,day_period,violation_code,count
330069,Week,PM,37,1
330069,Week,PM,38,17
330069,Week,PM,40,8
330069,Week,PM,42,22
330069,Week,PM,46,13
330069,Week,PM,47,58
330069,Week,PM,69,141
330551,Week,AM,14,8
330551,Week,AM,16,73
330551,Week,AM,17,7
330551,Week,AM,20,264
330551,Week,AM,21,136
330551,Week,AM,38,5
330551,Week,AM,40,3
330551,Week,AM,71,15
330551,Week,PM,14,29
330551,Week,PM,16,802
330551,Week,PM,17,22
330551,Week,PM,19,8
330551,Week,PM,20,166
330551,Week,PM,37,44
330551,Week,PM,38,32
330551,Week,PM,40,47
330551,Week,PM,46,15
330551,Week,PM,71,46
330593,Week,AM,14,309
330593,Week,AM,17,10
330593,Week,AM,19,11
330593,Week,AM,20,1
330593,Week,AM,31,61
330593,Week,AM,37,8
330593,Week,AM,38,12
330593,Week,AM,40,5
330593,Week,AM,42,252
330593,Week,AM,47,127
330593,Week,AM,69,726
330593,Week,AM,71,29
330593,Week,PM,14,32
330593,Week,PM,19,3
330593,Week,PM,31,22
330593,Week,PM,37,10
330593,Week,PM,38,8
330593,Week,PM,40,2
330593,Week,PM,42,40
330593,Week,PM,47,13
330593,Week,PM,69,77
330593,Week,PM,71,3
330593,Weekend,AM,14,2
330593,Weekend,AM,69,1
330593,Weekend,PM,69,1
330924,Week,AM,14,515
330924,Week,AM,16,6
330924,Week,AM,17,8
330924,Week,AM,19,34
330924,Week,AM,20,3
330924,Week,AM,31,151
330924,Week,AM,40,24
330924,Week,AM,42,32
330924,Week,AM,46,6
330924,Week,AM,47,333
330924,Week,AM,69,491
330924,Week,AM,71,20
330924,Week,PM,14,21
330924,Week,PM,19,16
330924,Week,PM,31,35
330924,Week,PM,38,1
330924,Week,PM,40,1
330924,Week,PM,42,5
330924,Week,PM,47,26
330924,Week,PM,69,31
330924,Week,PM,71,2
330924,Weekend,PM,14,31
330924,Weekend,PM,16,9
330924,Weekend,PM,19,5
330924,Weekend,PM,20,2
330924,Weekend,PM,31,15
330924,Weekend,PM,37,8
330924,Weekend,PM,38,35
330924,Weekend,PM,46,3
330924,Weekend,PM,47,2
330924,Weekend,PM,69,3
330924,Weekend,PM,71,4
330957,Week,AM,14,1
330957,Week,AM,31,1
330957,Week,AM,42,2
330957,Week,AM,69,5
330957,Week,PM,14,280
330957,Week,PM,16,1
330957,Week,PM,17,37
330957,Week,PM,19,21
330957,Week,PM,20,7
330957,Week,PM,31,321
330957,Week,PM,37,18
330957,Week,PM,38,39
330957,Week,PM,40,27
330957,Week,PM,42,161
330957,Week,PM,46,72
330957,Week,PM,47,37
330957,Week,PM,69,357
330957,Week,PM,71,22
330978,Week,AM,14,273
330978,Week,AM,16,12
330978,Week,AM,17,4
330978,Week,AM,19,33
330978,Week,AM,20,53
330978,Week,AM,21,198
330978,Week,AM,31,30
330978,Week,AM,38,18
330978,Week,AM,40,15
330978,Week,AM,42,6
330978,Week,AM,46,4
330978,Week,AM,47,126
330978,Week,AM,69,74
330978,Week,AM,71,18
330978,Week,PM,14,28
330978,Week,PM,16,2
330978,Week,PM,17,1
330978,Week,PM,19,2
330978,Week,PM,20,6
330978,Week,PM,21,1
330978,Week,PM,31,10
330978,Week,PM,38,4
330978,Week,PM,40,2
330978,Week,PM,42,2
