issuer_code,day_week,day_period,violation_code,count
330692,2,AM,37,14
330692,2,AM,38,15
330692,2,AM,40,29
330692,2,AM,46,8
330692,2,AM,47,67
330692,2,AM,69,81
330692,2,AM,71,5
330692,2,PM,14,35
330692,2,PM,16,4
330692,2,PM,20,3
330692,2,PM,31,8
330692,2,PM,37,6
330692,2,PM,38,3
330692,2,PM,40,4
330692,2,PM,46,2
330692,2,PM,47,5
330692,2,PM,69,12
330692,2,PM,71,1
330692,3,AM,14,184
330692,3,AM,16,16
330692,3,AM,17,2
330692,3,AM,19,9
330692,3,AM,20,18
330692,3,AM,31,19
330692,3,AM,37,10
330692,3,AM,38,13
330692,3,AM,40,17
330692,3,AM,46,4
330692,3,AM,47,44
330692,3,AM,69,88
330692,3,AM,71,7
330692,3,PM,14,8
330692,3,PM,16,2
330692,3,PM,19,2
330692,3,PM,31,10
330692,3,PM,37,5
330692,3,PM,46,3
330692,3,PM,47,2
330692,3,PM,69,9
330692,4,AM,14,175
330692,4,AM,16,19
330692,4,AM,17,1
330692,4,AM,19,13
330692,4,AM,20,36
330692,4,AM,21,49
330692,4,AM,31,32
330692,4,AM,37,12
330692,4,AM,38,9
330692,4,AM,40,21
330692,4,AM,46,4
330692,4,AM,47,52
330692,4,AM,69,71
330692,4,AM,71,11
330692,4,PM,14,32
330692,4,PM,16,7
330692,4,PM,17,1
330692,4,PM,19,9
330692,4,PM,20,2
330692,4,PM,21,2
330692,4,PM,31,15
330692,4,PM,37,4
330692,4,PM,38,1
330692,4,PM,40,9
330692,4,PM,46,4
330692,4,PM,47,6
330692,4,PM,69,18
330692,4,PM,71,1
330692,5,AM,14,192
330692,5,AM,16,25
330692,5,AM,17,3
330692,5,AM,19,16
330692,5,AM,20,27
330692,5,AM,21,57
330692,5,AM,31,28
330692,5,AM,37,11
330692,5,AM,38,22
330692,5,AM,40,23
330692,5,AM,46,3
330692,5,AM,47,56
330692,5,AM,69,88
330692,5,AM,71,9
330692,5,PM,14,20
330692,5,PM,16,1
330692,5,PM,19,6
