issuer_code,type_day,violation_code,count
331510,Week,82,22
331510,Week,84,13
331510,Week,98,1
331510,Weekend,4,1
331510,Weekend,14,14
331510,Weekend,16,3
331510,Weekend,17,7
331510,Weekend,19,3
331510,Weekend,20,4
331510,Weekend,37,1
331510,Weekend,40,2
331510,Weekend,51,2
331510,Weekend,67,1
331510,Weekend,70,1
331510,Weekend,71,1
333163,Week,10,91
333163,Week,13,25
333163,Week,14,536
333163,Week,16,134
333163,Week,17,149
333163,Week,18,32
333163,Week,19,96
333163,Week,20,122
333163,Week,21,11
333163,Week,24,10
333163,Week,31,282
333163,Week,34,1
333163,Week,38,1
333163,Week,40,187
333163,Week,45,2
333163,Week,46,304
333163,Week,47,37
333163,Week,48,53
333163,Week,50,6
333163,Week,51,34
333163,Week,53,146
333163,Week,60,2
333163,Week,61,1
333163,Week,64,20
333163,Week,67,18
333163,Week,68,14
333163,Week,70,58
333163,Week,71,119
333163,Week,74,9
333163,Week,80,1
333163,Week,81,1
333163,Week,82,9
333163,Week,84,1
333163,Weekend,10,19
333163,Weekend,13,5
333163,Weekend,14,92
333163,Weekend,16,30
333163,Weekend,17,68
333163,Weekend,18,1
333163,Weekend,19,75
333163,Weekend,20,35
333163,Weekend,31,36
333163,Weekend,40,116
333163,Weekend,46,117
333163,Weekend,47,2
333163,Weekend,48,15
333163,Weekend,50,5
333163,Weekend,51,2
333163,Weekend,53,57
333163,Weekend,64,4
333163,Weekend,67,7
333163,Weekend,68,1
333163,Weekend,70,23
333163,Weekend,71,21
333163,Weekend,74,2
333163,Weekend,75,1
333163,Weekend,82,1
333386,Week,10,2
333386,Week,11,4
333386,Week,14,167
333386,Week,16,54
333386,Week,17,16
333386,Week,18,3
333386,Week,19,58
333386,Week,20,282
333386,Week,21,1738
333386,Week,37,2
333386,Week,38,63
333386,Week,39,1
333386,Week,40,220
333386,Week,46,104
333386,Week,48,23
333386,Week,50,25
333386,Week,60,77
333386,Week,67,1
333386,Week,70,16
333386,Week,71,80
333386,Week,74,8
333386,Week,84,1
333386,Week,98,2
333386,Weekend,14,18
333386,Weekend,16,4
333386,Weekend,17,2
333386,Weekend,19,8
333386,Weekend,20,55
333386,Weekend,21,176
333386,Weekend,38,94
333386,Weekend,40,39
333386,Weekend,46,8
333386,Weekend,50,4
333386,Weekend,70,2
333386,Weekend,71,7
333733,Week,10,19
333733,Week,11,6
333733,Week,13,15
333733,Week,14,915
333733,Week,16,31
333733,Week,17,116
333733,Week,18,104
333733,Week,19,1
333733,Week,20,103
333733,Week,23,2
333733,Week,24,3
333733,Week,31,354
333733,Week,37,1
333733,Week,38,12
333733,Week,40,62
333733,Week,42,330
333733,Week,46,34
333733,Week,47,193
333733,Week,48,14
333733,Week,50,20
333733,Week,51,6
333733,Week,53,8
333733,Week,55,1
333733,Week,59,3
333733,Week,64,58
333733,Week,66,3
333733,Week,69,552
333733,Week,70,14
333733,Week,71,26
333733,Week,72,1
333733,Week,74,2
333733,Week,75,1
333733,Week,77,137
333733,Week,82,51
333733,Week,84,33
333733,Week,98,2
333733,Weekend,10,1
333733,Weekend,13,3
333733,Weekend,14,88
333733,Weekend,16,7
333733,Weekend,17,10
333733,Weekend,18,9
333733,Weekend,20,5
333733,Weekend,31,14
333733,Weekend,37,19
333733,Weekend,38,41
333733,Weekend,40,24
333733,Weekend,42,7
333733,Weekend,46,6
333733,Weekend,47,8
333733,Weekend,48,2
333733,Weekend,50,4
333733,Weekend,52,1
333733,Weekend,53,1
333733,Weekend,59,1
333733,Weekend,64,3
333733,Weekend,69,12
333733,Weekend,70,1
333733,Weekend,71,10
333733,Weekend,72,1
333733,Weekend,73,1
333733,Weekend,74,1
333733,Weekend,75,1
333733,Weekend,77,23
