issuer_code,type_day,violation_category,count
349538,Weekend,3,20
349538,Weekend,4,20
349538,Weekend,5,237
349570,Week,1,2873
349570,Week,2,1625
349570,Week,3,463
349570,Week,4,24
349570,Week,5,516
349570,Week,6,4
349570,Weekend,1,550
349570,Weekend,2,259
349570,Weekend,3,83
349570,Weekend,4,9
349570,Weekend,5,194
349576,Week,2,1054
349576,Week,3,187
349576,Week,4,755
349576,Week,5,1266
349576,Week,6,19
349576,Weekend,2,138
349576,Weekend,3,22
349576,Weekend,4,101
349576,Weekend,5,404
349576,Weekend,6,1
349850,Week,1,2332
349850,Week,2,906
349850,Week,3,300
349850,Week,4,1
349850,Week,5,412
349850,Week,6,28
349850,Weekend,1,292
349850,Weekend,2,206
349850,Weekend,3,44
349850,Weekend,5,171
349850,Weekend,6,11
350401,Week,1,10
350401,Week,2,2549
350401,Week,3,423
350401,Week,4,15
350401,Week,5,479
350401,Week,6,5
350401,Weekend,1,4
350401,Weekend,2,276
350401,Weekend,3,48
350401,Weekend,5,46
350407,Week,1,144
350407,Week,2,1935
350407,Week,3,635
350407,Week,4,6
350407,Week,5,720
350407,Week,6,48
350407,Weekend,1,2
350407,Weekend,2,328
350407,Weekend,3,118
350407,Weekend,5,97
350423,Week,1,17
350423,Week,2,1050
350423,Week,3,135
350423,Week,5,1826
350423,Weekend,1,1
350423,Weekend,2,262
350423,Weekend,3,19
350423,Weekend,5,523
350424,Week,1,10
350424,Week,2,2093
350424,Week,3,247
350424,Week,4,4
350424,Week,5,321
350424,Week,6,143
350424,Weekend,1,11
350424,Weekend,2,105
350424,Weekend,3,5
350424,Weekend,5,17
350424,Weekend,6,1
350425,Week,1,724
350425,Week,2,751
350425,Week,3,430
350425,Week,4,10
350425,Week,5,504
350425,Week,6,55
350425,Weekend,1,97
350425,Weekend,2,81
350425,Weekend,3,19
350425,Weekend,5,81
350425,Weekend,6,4
350433,Week,1,1765
350433,Week,2,1473
350433,Week,3,254
350433,Week,4,5
350433,Week,5,744
350433,Weekend,1,298
350433,Weekend,2,516
350433,Weekend,3,47
350433,Weekend,4,1
350433,Weekend,5,202
350439,Week,1,28
350439,Week,2,950
350439,Week,3,98
350439,Week,4,4
350439,Week,5,670
350439,Week,6,1
350439,Weekend,2,16
350439,Weekend,3,3
350439,Weekend,5,32
351239,Week,2,1430
351239,Week,3,830
351239,Week,4,17
351239,Week,5,194
351239,Week,6,17
351239,Weekend,1,9
351239,Weekend,2,227
351239,Weekend,3,98
351239,Weekend,4,5
351239,Weekend,5,52
351274,Week,1,17
351274,Week,2,3712
351274,Week,3,732
351274,Week,4,14
351274,Week,5,428
351274,Weekend,2,427
351274,Weekend,3,107
351274,Weekend,4,1
351274,Weekend,5,39
351280,Week,1,1011
351280,Week,2,1514
351280,Week,3,567
351280,Week,4,4
351280,Week,5,234
351280,Week,6,78
351280,Weekend,1,57
351280,Weekend,2,361
351280,Weekend,3,45
351280,Weekend,4,1
351280,Weekend,5,85
351280,Weekend,6,14
351919,Week,2,1608
351919,Week,3,186
351919,Week,4,664
351919,Week,5,937
351919,Week,6,3
351919,Weekend,1,1
351919,Weekend,2,78
351919,Weekend,3,27
351919,Weekend,4,54
351919,Weekend,5,93
351929,Week,2,1904
351929,Week,3,210
351929,Week,4,239
351929,Week,5,651
351929,Week,6,1
351929,Weekend,2,941
351929,Weekend,3,46
351929,Weekend,4,100
351929,Weekend,5,369
351995,Week,1,191
351995,Week,2,2031
351995,Week,3,407
351995,Week,4,50
351995,Week,5,389
351995,Week,6,4
351995,Weekend,1,26
351995,Weekend,2,934
351995,Weekend,3,168
351995,Weekend,4,30
351995,Weekend,5,353
351995,Weekend,6,3
351997,Week,1,2019
351997,Week,2,1038
351997,Week,3,334
351997,Week,4,2
351997,Week,5,538
351997,Week,6,1
351997,Weekend,1,223
351997,Weekend,2,310
351997,Weekend,3,55
351997,Weekend,5,213
352036,Week,1,990
352036,Week,2,1566
352036,Week,3,427
352036,Week,4,28
352036,Week,5,614
352036,Weekend,1,219
352036,Weekend,2,720
352036,Weekend,3,98
352036,Weekend,4,3
352036,Weekend,5,204
352070,Week,1,56
352070,Week,2,747
352070,Week,3,253
352070,Week,4,549
352070,Week,5,1066
352070,Weekend,2,183
352070,Weekend,3,42
352070,Weekend,4,105
352070,Weekend,5,245
352079,Week,1,895
352079,Week,2,2086
352079,Week,3,292
352079,Week,4,3
352079,Week,5,235
352079,Week,6,46
352079,Weekend,1,81
352079,Weekend,2,715
352079,Weekend,3,39
352079,Weekend,4,9
352079,Weekend,5,222
352946,Week,1,11
352946,Week,2,1118
352946,Week,3,1306
352946,Week,4,8
352946,Week,5,120
352946,Week,6,1
352946,Weekend,2,9
352946,Weekend,3,13
352950,Week,1,11
352950,Week,2,3273
352950,Week,3,359
352950,Week,4,14
352950,Week,5,223
352950,Week,6,18
352950,Weekend,2,275
352950,Weekend,3,69
352950,Weekend,5,44
352992,Week,1,65
352992,Week,2,1396
352992,Week,3,596
352992,Week,4,169
352992,Week,5,297
352992,Weekend,1,242
352992,Weekend,2,236
352992,Weekend,3,33
352992,Weekend,5,128
353069,Week,1,257
353069,Week,2,698
353069,Week,3,127
353069,Week,4,1211
353069,Week,5,1289
353069,Weekend,1,36
353069,Weekend,2,47
353069,Weekend,3,14
353069,Weekend,4,154
353069,Weekend,5,446
353070,Week,1,213
353070,Week,2,2318
353070,Week,3,336
353070,Week,4,412
353070,Week,5,685
353070,Weekend,1,11
353070,Weekend,2,460
353070,Weekend,3,113
