issuer_code,day_period,violation_code,count
330957,PM,19,21
330957,PM,20,7
330957,PM,31,321
330957,PM,37,18
330957,PM,38,39
330957,PM,40,27
330957,PM,42,161
330957,PM,46,72
330957,PM,47,37
330957,PM,48,6
330957,PM,50,12
330957,PM,51,3
330957,PM,52,1
330957,PM,67,1
330957,PM,69,357
330957,PM,70,3
330957,PM,71,22
330957,PM,79,2
330957,PM,82,48
330957,PM,83,1
330957,PM,84,4
330957,PM,89,2
330978,AM,8,11
330978,AM,10,23
330978,AM,11,1
330978,AM,13,6
330978,AM,14,308
330978,AM,16,24
330978,AM,17,10
330978,AM,18,1
330978,AM,19,49
330978,AM,20,90
330978,AM,21,203
330978,AM,31,39
330978,AM,37,1
330978,AM,38,42
330978,AM,40,30
330978,AM,42,9
330978,AM,46,9
330978,AM,47,183
330978,AM,48,14
330978,AM,50,1
330978,AM,51,6
330978,AM,53,2
330978,AM,60,1
330978,AM,64,3
330978,AM,66,6
330978,AM,69,81
330978,AM,70,9
330978,AM,71,29
330978,AM,74,2
330978,AM,75,2
330978,AM,82,1
330978,AM,84,54
330978,PM,8,1
330978,PM,10,11
330978,PM,13,1
330978,PM,14,100
330978,PM,16,15
330978,PM,17,12
330978,PM,19,13
330978,PM,20,24
330978,PM,21,1
330978,PM,31,71
330978,PM,37,4
330978,PM,38,32
330978,PM,40,11
330978,PM,42,7
330978,PM,46,1
330978,PM,47,37
330978,PM,48,3
330978,PM,50,1
330978,PM,51,1
330978,PM,53,1
330978,PM,64,1
330978,PM,66,1
330978,PM,69,29
330978,PM,70,3
330978,PM,71,23
330978,PM,74,3
330978,PM,75,1
330978,PM,84,11
330978,PM,98,1
331074,AM,10,9
331074,AM,11,2
331074,AM,13,7
331074,AM,14,169
331074,AM,16,8
331074,AM,17,9
331074,AM,19,13
331074,AM,20,44
331074,AM,21,162
331074,AM,31,7
331074,AM,37,1
331074,AM,38,40
331074,AM,40,17
331074,AM,47,31
331074,AM,48,7
331074,AM,51,13
331074,AM,53,1
331074,AM,66,20
331074,AM,69,40
331074,AM,70,8
331074,AM,71,56
331074,AM,74,4
331074,AM,82,2
331074,AM,84,12
331074,PM,10,2
331074,PM,13,3
331074,PM,14,42
331074,PM,16,7
331074,PM,17,6
331074,PM,19,2
331074,PM,20,11
331074,PM,21,2
331074,PM,31,4
331074,PM,38,12
331074,PM,40,23
331074,PM,47,3
331074,PM,48,4
331074,PM,50,3
331074,PM,51,1
331074,PM,61,1
331074,PM,64,1
331074,PM,66,4
331074,PM,69,16
331074,PM,70,9
331074,PM,71,43
331074,PM,74,4
331074,PM,84,2
331261,AM,13,1
331261,AM,14,427
331261,AM,16,78
331261,AM,17,15
331261,AM,19,9
331261,AM,20,3
