issuer_code,day_week,day_period,violation_code,count
330068,1,PM,38,3
330068,1,PM,42,7
330068,1,PM,47,8
330068,1,PM,69,14
330068,1,PM,71,1
330068,2,AM,14,51
330068,2,AM,16,2
330068,2,AM,17,8
330068,2,AM,19,5
330068,2,AM,31,14
330068,2,AM,37,2
330068,2,AM,38,4
330068,2,AM,40,1
330068,2,AM,42,29
330068,2,AM,46,1
330068,2,AM,47,27
330068,2,AM,69,98
330068,2,AM,71,1
330068,2,PM,14,5
330068,2,PM,31,3
330068,2,PM,37,2
330068,2,PM,38,4
330068,2,PM,40,1
330068,2,PM,42,14
330068,2,PM,47,2
330068,2,PM,69,10
330068,3,AM,14,66
330068,3,AM,17,6
330068,3,AM,19,4
330068,3,AM,31,16
330068,3,AM,37,2
330068,3,AM,40,2
330068,3,AM,42,22
330068,3,AM,47,24
330068,3,AM,69,125
330068,3,AM,71,3
330068,3,PM,14,9
330068,3,PM,17,2
330068,3,PM,31,5
330068,3,PM,38,4
330068,3,PM,40,3
330068,3,PM,42,9
330068,3,PM,47,3
330068,3,PM,69,17
330068,4,AM,14,45
330068,4,AM,17,2
330068,4,AM,19,2
330068,4,AM,31,11
330068,4,AM,38,1
330068,4,AM,40,3
330068,4,AM,42,23
330068,4,AM,46,1
330068,4,AM,47,18
330068,4,AM,69,74
330068,4,PM,14,6
330068,4,PM,17,2
330068,4,PM,19,2
330068,4,PM,31,8
330068,4,PM,37,1
330068,4,PM,38,3
330068,4,PM,40,1
330068,4,PM,42,9
330068,4,PM,47,2
330068,4,PM,69,9
330068,5,AM,14,43
330068,5,AM,17,5
330068,5,AM,19,5
330068,5,AM,31,18
330068,5,AM,37,1
330068,5,AM,38,9
330068,5,AM,42,23
330068,5,AM,46,1
330068,5,AM,47,14
330068,5,AM,69,77
330068,5,AM,71,3
330068,5,PM,14,11
330068,5,PM,17,1
330068,5,PM,19,1
330068,5,PM,31,1
330068,5,PM,37,1
330068,5,PM,38,3
330068,5,PM,42,7
330068,5,PM,47,5
330068,5,PM,69,12
330068,6,AM,14,3
330068,6,AM,31,2
330068,6,AM,37,3
330068,6,AM,38,6
330068,6,AM,42,2
330068,6,AM,47,1
330068,6,AM,69,2
330068,6,AM,71,1
330068,6,PM,14,1
330068,6,PM,31,2
330068,6,PM,37,1
330068,6,PM,42,1
330068,6,PM,69,1
330069,1,AM,14,41
330069,1,AM,20,1
330069,1,AM,31,13
330069,1,AM,38,1
330069,1,AM,40,9
330069,1,AM,42,17
330069,1,AM,46,7
330069,1,AM,47,35
330069,1,AM,69,185
330069,1,PM,14,8
330069,1,PM,19,2
330069,1,PM,31,4
330069,1,PM,37,1
330069,1,PM,38,3
330069,1,PM,42,4
330069,1,PM,46,3
330069,1,PM,47,5
330069,1,PM,69,19
330069,2,AM,14,45
330069,2,AM,17,2
330069,2,AM,20,1
330069,2,AM,31,13
330069,2,AM,38,8
330069,2,AM,40,6
330069,2,AM,42,6
330069,2,AM,46,13
330069,2,AM,47,51
