issuer_code,vcount,dcount
103382,1,1
103419,1,1
103477,1,1
103481,13,10
103482,1,1
103609,2,2
103610,2,2
103622,11,6
103628,1,1
103952,2,2
103953,1,1
106027,1,1
110596,1,1
111101,5,3
111103,5,1
111104,76,19
111105,97,27
111107,1,1
111109,2,2
111112,2,2
111114,34,16
111120,13,5
111121,10,4
111122,53,24
111124,11,3
111125,188,61
111127,2,2
111129,7,3
111131,40,18
111132,61,18
111134,1,1
111135,8,2
111136,7,5
111138,86,24
111139,1,1
111141,20,13
111145,2,2
111146,2,2
111150,87,21
111151,144,56
111152,2,2
111155,3,2
111159,1,1
111160,5,3
111161,3,2
111220,1,1
111704,1,1
111749,1,1
115778,1,1
116478,1,1
122246,1,1
122713,1,1
131927,1,1
136162,1,1
137927,1,1
140010,1,1
140390,1,1
144784,1,1
145292,1,1
149215,1,1
149954,1,1
150172,1,1
153446,1,1
154212,1,1
160042,1,1
160053,1,1
160055,4,4
160063,12,1
160077,2,1
160083,36,14
160092,1,1
160096,2,2
160099,1,1
160103,1,1
160106,11,4
160112,1,1
160146,1,1
160147,1,1
160148,2,2
160151,2,2
160154,2,1
160160,18,14
160162,2,2
160166,8,6
160171,56,41
160174,1,1
160176,4,4
160177,1,1
160178,60,32
160185,14,12
160186,2,2
160188,2,1
160193,6,4
160195,326,41
160196,3,3
160201,2,2
160203,26,14
160204,7,1
160207,27,20
160212,6,5
160213,76,41
160219,13,10
160238,1,1
160246,19,13
160248,1,1
160250,3,1
160252,2,2
160256,3,2
160258,3,3
160260,1,1
160265,2,1
160268,10,10
160274,2,2
160275,11,7
160283,29,21
160285,5,2
160295,2,1
160298,3,3
160299,2,2
160307,18,14
160309,1,1
160314,5,5
160317,2,2
160335,12,9
160337,40,16
160349,29,14
160357,7,7
160359,3,3
160361,2,2
160362,1,1
160373,3,2
160375,1,1
160380,76,38
160381,1,1
160384,1,1
160387,11,7
160390,25,15
160406,1,1
160417,1,1
160418,1,1
160420,1,1
160421,27,20
160422,1,1
160425,3,3
160426,2,2
160427,14,11
160429,28,16
160430,11,9
160433,47,16
160434,4,4
160436,3,3
160437,15,10
160439,3,2
160441,51,19
160443,26,16
160444,18,7
160445,7,4
160449,7,6
160450,1,1
160455,1,1
160487,3,1
160494,3,1
160507,1,1
160530,7,5
160533,4,3
160534,1,1
160560,57,19
160568,3,3
160860,2,1
160954,20,11
160955,7,5
160956,1,1
160971,12,10
160977,1,1
160993,2,2
160995,1,1
160996,1,1
160999,1,1
161039,18,14
161070,2,2
161086,3,3
161136,2,1
161201,4,4
161208,1,1
161271,1,1
161277,2,2
161285,21,10
161316,4,4
161319,1,1
161320,12,11
161325,1,1
161330,1,1
161345,1,1
161348,1,1
161417,4,2
161419,5,5
161437,1,1
161443,3,3
161445,2,2
161448,5,5
161451,4,3
161457,10,7
161466,1,1
161471,4,3
161477,1,1
161493,1,1
161603,1,1
163034,1,1
164560,1,1
165292,1,1
166178,1,1
180195,1,1
180225,1,1
183130,3,1
192733,1,1
192992,1,1
194653,1,1
196743,1,1
213102,1,1
215008,1,1
215009,1,1
215291,1,1
217069,3,3
217431,1,1
217433,1,1
217436,6,3
217438,3,2
229299,1,1
231927,1,1
234247,1,1
241050,1,1
241550,1,1
241665,1,1
250581,1,1
253163,1,1
276143,1,1
290353,1,1
292529,1,1
293941,1,1
293945,1,1
304529,1,1
307407,1,1
313515,1,1
313900,1,1
316056,1,1
317888,1,1
327824,1,1
328088,1,1
328538,1,1
328548,1,1
328598,2,2
328599,1,1
329995,1,1
329998,24,14
330001,5014,150
330005,1,1
330010,1,1
330015,343,125
330018,5,5
330024,912,46
330029,67,47
330039,1644,162
330040,148,19
330068,1584,111
330069,1898,101
330075,3,3
330076,4406,155
330077,7,5
330085,1,1
330113,80,37
330129,21,19
330132,4,3
330198,5367,161
330200,1,1
330206,23,23
330232,235,92
330291,4552,154
330344,1000,119
330347,195,69
330351,5,3
330359,35,15
330380,73,34
330391,28,12
330397,1,1
330420,2,2
330427,1,1
330487,3873,157
330521,2,2
