issuer_code,violation_category,violation_time_bucket,count
331220,3,4,69
331220,3,5,57
331220,3,6,44
331220,3,7,37
331220,3,8,7
331220,3,9,7
331220,3,10,2
331220,3,11,1
331220,3,12,1
331220,4,3,5
331220,4,4,18
331220,4,5,28
331220,4,6,17
331220,4,7,2
331220,4,8,12
331220,4,9,10
331220,4,10,3
331220,4,11,5
331220,5,1,163
331220,5,2,78
331220,5,3,205
331220,5,4,174
331220,5,5,146
331220,5,6,69
331220,5,7,11
331220,5,8,16
331220,5,9,10
331220,5,10,17
331220,5,11,4
331510,1,6,2
331510,1,7,3
331510,2,6,6
331510,2,7,332
331510,2,8,650
331510,2,9,536
331510,2,10,95
331510,2,11,567
331510,2,12,503
331510,3,7,50
331510,3,8,119
331510,3,9,90
331510,3,10,12
331510,3,11,62
331510,3,12,74
331510,4,8,43
331510,4,9,5
331510,4,12,4
331510,5,7,14
331510,5,8,82
331510,5,9,32
331510,5,10,3
331510,5,11,15
331510,5,12,57
333163,1,1,1
333163,1,3,4
333163,1,4,1
333163,1,5,4
333163,1,6,1
333163,2,1,337
333163,2,2,470
333163,2,3,455
333163,2,4,458
333163,2,5,357
333163,2,6,151
333163,2,7,70
333163,2,8,137
333163,2,9,111
333163,2,10,49
333163,2,11,5
333163,2,12,6
333163,3,1,150
333163,3,2,146
333163,3,3,112
333163,3,4,114
333163,3,5,161
333163,3,6,73
333163,3,7,33
333163,3,8,91
333163,3,9,41
333163,3,10,12
333163,3,11,1
333163,3,12,2
333163,4,5,1
333163,5,1,110
333163,5,2,37
333163,5,3,25
333163,5,4,33
333163,5,5,13
333163,5,6,16
333163,5,7,3
333163,5,8,7
333163,5,9,4
333163,5,10,8
333163,6,3,1
333386,1,1,1
333386,1,2,195
333386,1,3,629
333386,1,4,583
333386,1,5,110
333386,1,6,660
333386,1,7,68
333386,2,1,283
333386,2,2,370
333386,2,3,105
333386,2,4,113
333386,2,5,114
333386,2,6,98
333386,2,7,33
333386,2,8,2
333386,2,10,1
333386,2,11,1
333386,2,12,1
333386,3,1,51
333386,3,2,33
333386,3,3,32
333386,3,4,33
333386,3,5,89
333386,3,6,52
333386,3,7,10
333386,3,8,6
333386,3,11,1
333386,4,5,2
333386,4,6,1
333386,5,1,25
333386,5,2,27
333386,5,3,84
333386,5,4,117
333386,5,5,52
333386,5,6,28
333386,5,7,6
333386,5,8,1
333733,2,6,4
